Meeting,Date,Description,Depend On,Action,Owner,Status,Deadline,Priority
Meeting 1,2026-01-06,Weekly project meeting,,Analyze data #1,Alice,Open,2026-01-16,Low
Meeting 1,2026-01-06,Weekly project meeting,Analyze data #1,Prepare report #2,Frank,Done,2026-01-16,High
Meeting 1,2026-01-06,Weekly project meeting,Prepare report #2,Write documentation #3,David,Done,2026-01-14,High
Meeting 2,2026-01-07,Product improvement discussion,,Fix bug #1,Emma,In Progress,2026-01-10,High
Meeting 2,2026-01-07,Product improvement discussion,Fix bug #1,Update dashboard #2,Emma,Done,2026-01-12,High
Meeting 2,2026-01-07,Product improvement discussion,Update dashboard #2,Write documentation #3,David,In Progress,2026-01-14,Medium
Meeting 2,2026-01-07,Product improvement discussion,Write documentation #3,Review documents #4,Bob,Open,2026-01-17,High
Meeting 3,2026-01-08,Product improvement discussion,,Analyze data #1,Frank,In Progress,2026-01-11,Low
Meeting 3,2026-01-08,Product improvement discussion,Analyze data #1,Write documentation #2,Emma,In Progress,2026-01-16,Medium
Meeting 3,2026-01-08,Product improvement discussion,Write documentation #2,Update dashboard #3,Alice,Open,2026-01-16,High
Meeting 4,2026-01-09,Sprint planning,,Design UI #1,David,Done,2026-01-14,Medium
Meeting 4,2026-01-09,Sprint planning,Design UI #1,Prepare report #2,Bob,Open,2026-01-13,Medium
Meeting 4,2026-01-09,Sprint planning,Prepare report #2,Design UI #3,Bob,Open,2026-01-18,High
Meeting 5,2026-01-10,Sprint planning,,Update dashboard #1,Charlie,Open,2026-01-13,Low
Meeting 5,2026-01-10,Sprint planning,Update dashboard #1,Collect requirements #2,Frank,Open,2026-01-17,Low
Meeting 5,2026-01-10,Sprint planning,Collect requirements #2,Design UI #3,Charlie,Done,2026-01-13,Medium
Meeting 5,2026-01-10,Sprint planning,Design UI #3,Fix bug #4,David,Done,2026-01-14,High
Meeting 6,2026-01-11,Client requirement discussion,,Write documentation #1,Bob,Open,2026-01-17,Low
Meeting 6,2026-01-11,Client requirement discussion,Write documentation #1,Update dashboard #2,Frank,In Progress,2026-01-21,Medium
Meeting 6,2026-01-11,Client requirement discussion,Update dashboard #2,Analyze data #3,Emma,In Progress,2026-01-19,Medium
Meeting 7,2026-01-12,Product improvement discussion,,Update dashboard #1,Alice,Open,2026-01-18,High
